SIDE,SCH,PLACE,Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
T,A & D IOs,P,CONN4,1,A-DF 15 A/KG-T1,,USER,,,674-0855,,D-sub 15 Right Angle Through Hole Socket 2.77mm
T,A & D IOs,P,CONN5,1,A-DF 15 A/KG-T1,,USER,,,674-0855,,D-sub 15 Right Angle Through Hole Socket 2.77mm
T,MAGNETICS,P,CONN6,1,RJ45-Magnetics-7498011008,,SM,,,814-9853,,"Surface Mount Lan Ethernet Transformer, 13.6 x 16.26 x 21.95mm, -40 ? +85 °C"
T,PCB,P,CONN7,1,TE 2040852-1,,SM,,,,,LOW PROFILE SPRING FINGER
T,PCB,P,CONN9,1,TE 2040852-1,,SM,,,,,LOW PROFILE SPRING FINGER
B,A & D IOs,P,D1,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,A & D IOs,P,D10,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
B,A & D IOs,P,D11,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
B,A & D IOs,P,D12,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,A & D IOs,P,D13,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,A & D IOs,P,D14,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
B,A & D IOs,P,D15,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
B,A & D IOs,P,D16,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,A & D IOs,P,D17,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
B,A & D IOs,P,D18,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,AOS AD5624R,P,D19,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,A & D IOs,P,D2,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,AOS AD5624R,P,D20,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,AOS AD5624R,P,D21,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,AOS AD5624R,P,D22,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,FT230X,P,D23,1,LED-D0603,,SM,Osram,LP L296-J2L2-25,914-8603,,SM LED DO6O3 (GREEN)
T,Power,P,D3,1,MBRM110ET1G,,SM,,,,,Schottky 1A 10V 2-Pin Powermite
T,MAGNETICS,P,D5,1,LED-D0603,,SM,Osram,LA L296-P2R1-1,914-8603,,SM LED DO6O3 (AMBER)
T,FT230X,P,D7,1,LED-D0603,,SM,Osram,LA L296-P2R1-1,914-8603,,SM LED DO6O3 (AMBER)
T,MAGNETICS,P,D8,1,LED-D0603,,SM,Osram,LP L296-J2L2-25,914-8603,,SM LED DO6O3 (GREEN)
T,A & D IOs,P,D9,1,BAT754S,,SML,,,508-315,,Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB
T,Power,P,IC1,1,NDT2955,,SOT230P700X180-4N,Fairchild Semiconductor,NDT2955,6711096,,"NDT2955, P-channel MOSFET Transistor 2.5 A 60 V, 4-Pin SOT-223"
T,PIC,P,IC10,1,PIC18F97J60-I_PF,,QFP50P1600X1600X120-100N,Microchip,PIC18F97J60-I/PF,6988919,,"MCU 128KB Flash, with 10BASE-T Ethernet"
T,MAGNETICS,P,IC11,1,NC7SB3157P6X,,SM,,,670-9784,,
B,AD7329,P,IC2,1,ADG467BRSZ,,SOP65P780X200-20N,Analog Devices,ADG467BRSZ,7097708,,"ADG467BRSZ, Channel Protector, 20-Pin SSOP"
T,MAGNETICS,P,IC9,1,NC7SB3157P6X,,SM,,,670-9784,,
T,PIC,P,J1,1,TB2-2.54mm,,USER,,,,,Jumper
T,PIC,P,J2,1,TB2-2.54mm,,USER,,,,,Jumper
T,PIC,P,J3,1,TB2-2.54mm,,USER,,,,,Jumper
T,Power,P,L1,1,ELL3FU1R0N-3FU,1.0UH,IND_ELL3FU,,,749-8592,,Choke Coils
T,AD7329,P,L13,1,BU9HS-153R15BL,,USER,,,NA-FN2458144,,Common Mode Choke
T,PIC,P,L5,1,FB0603,,SM,,,,,SM FERRITE BEAD 0603
T,PIC,P,L6,1,FB0603,,SM,,,,,SM FERRITE BEAD 0603
T,PIC,P,LED4,1,L-59EGW,,L-59EGW,Kingbright,L-59EGW,2285764,,"HE red/green common cathode LED,L59EGW Kingbright L-59EGW Bi-colour Green, Red LED, 568 / 625 nm, 3-Pin 5mm (T-1 3/4), Round Lens Through Hole Package"
T,PIC,P,R1,1,R0603,0R,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R10,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,FT230X,P,R100,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,FT230X,P,R101,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,PIC,P,R102,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,PIC,P,R103,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,FT230X,P,R104,1,R0603,300,SM,,,,,SM RESISTOR 0603
T,FT230X,P,R105,1,R0603,300,SM,,,,,SM RESISTOR 0603
B,PIC,P,R106,1,R0603,27,SM,,,,,SM RESISTOR 0603
B,AD7329,P,R107,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,Power,P,R108,1,R0603,10k,SM,,,,,SM RESISTOR 0603
T,Power,P,R109,1,R0603,10k,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R11,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,PIC,P,R110,1,R0603,27,SM,,,,,SM RESISTOR 0603
T,PIC,P,R111,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,PIC,P,R112,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,PIC,P,R113,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,PIC,P,R114,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,USD,P,R115,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,USD,P,R116,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,AOS AD5624R,P,R117,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,PIC,P,R119,1,R0603,1R,SM,,,,,SM RESISTOR 0603
B,PIC,P,R12,1,R0603,2.26K,SM,,,,,SM RESISTOR 0603
B,PIC,P,R120,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R122,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,PIC,P,R123,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R124,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R125,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,FT230X,P,R126,1,R0603,4.7K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R127,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,Power,P,R128,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R129,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,PIC,P,R13,1,R0603,300,SM,,,,,SM RESISTOR 0603
T,Power,P,R130,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R131,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R132,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R133,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R134,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R135,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R136,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R137,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R138,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,AD7329,P,R139,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R14,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R140,1,R0603,10K,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R141,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R142,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R143,1,R0603,10K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R15,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R16,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R17,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R18,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AD7329,P,R19,1,R0603,1K,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R2,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AD7329,P,R20,1,R0603,1K,SM,,,,,SM RESISTOR 0603
T,PIC,P,R21,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,PIC,P,R22,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,PIC,P,R23,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,AOS AD5624R,P,R24,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AOS AD5624R,P,R25,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AOS AD5624R,P,R26,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,AOS AD5624R,P,R27,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,AOS AD5624R,P,R28,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AOS AD5624R,P,R29,1,R0603,1k,SM,,,,,SM RESISTOR 0603
